term,replacement
سازگار با,سازگار با
احتمال,احتمال
توصیه می شود,توصیه می‌شود
پیگیری,پیگیری
مطالعات تکمیلی,مطالعات تکمیلی
بررسی بیشتر,بررسی بیشتر
نیاز به,نیاز به
در مقایسه با,در مقایسه با
نسبت به قبل,نسبت به قبل
بدون تغییر,بدون تغییر
پیشرفت,پیشرفت
بهبود,بهبود
تشدید,تشدید
